time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.312598,0.398415,6286.15,-1.39341,0.0,0.0,0.0
0.003125,-0.30909,0.393146,6214.36,-1.53375,71.79,0.14034,0.140661
0.00625,-0.3232,0.410708,6366.91,-1.6884,152.55,0.15465,0.155405
0.009375,-0.32183,0.408833,6358.39,-1.85866,8.52002,0.17026,0.167993
0.0125,-0.334117,0.423304,6473.76,-1.99793,115.37,0.13927,0.135507
0.015625,-0.327646,0.414974,6424.89,-2.1341,48.8696,0.13617,0.152666
0.01875,-0.339983,0.430288,6544.41,-2.25955,119.52,0.12545,0.15434
0.021875,-0.348811,0.441056,6662.26,-2.4084,117.85,0.14885,0.176082
0.025,-0.345769,0.437852,6666.96,-2.54639,4.7002,0.13799,0.161176
0.028125,-0.354006,0.448642,6760.12,-2.66533,93.1602,0.11894,0.138566
0.03125,-0.354241,0.448228,6759.21,-2.80394,0.910156,0.13861,0.170896
0.034375,-0.354587,0.449415,6787.93,-2.92777,28.7202,0.12383,0.176082
0.0375,-0.358164,0.453227,6811.53,-3.08641,23.5996,0.15864,0.222639
0.040625,-0.347017,0.437794,6709.93,3.01831,101.6,0.178465,0.314763
0.04375,-0.346552,0.436525,6611.02,2.91559,98.9102,0.10272,1.30182
0.046875,-0.32469,0.408538,6383.61,2.7244,227.41,0.19119,0.265772
0.05,-0.328031,0.413826,6437.39,2.55628,53.7803,0.16812,0.192546
0.053125,-0.315287,0.399056,6394.91,2.40371,42.48,0.15257,0.201332
0.05625,-0.303823,0.385044,6337.92,2.27301,56.9902,0.1307,0.185381
0.059375,-0.280156,0.354842,6031.66,2.06762,306.26,0.20539,0.201819
0.0625,-0.280589,0.356078,6098.66,1.9034,67.0,0.16422,0.185435
0.065625,-0.262279,0.330826,5754.85,1.71069,343.81,0.19271,0.21881
0.06875,-0.276902,0.34982,5927.67,1.53346,172.82,0.17723,0.213204
0.071875,-0.285478,0.359858,5964.97,1.35775,37.3003,0.17571,0.210886
0.075,-0.289872,0.363439,5964.79,1.1542,0.180176,0.20355,0.184156
0.078125,-0.308767,0.38839,6178.32,0.99293,213.53,0.16127,0.219166
0.08125,-0.329519,0.414096,6404.92,0.828275,226.6,0.164655,0.187942
0.084375,-0.346502,0.434436,6541.03,0.693059,136.11,0.135216,0.200685
0.0875,-0.353459,0.443566,6602.54,0.57098,61.5103,0.122079,0.190053
0.090625,-0.363055,0.457141,6702.13,0.468491,99.5898,0.102489,0.180073
0.09375,-0.375161,0.472844,6841.57,0.354369,139.44,0.114122,0.171595
