time,U,S,P_Amp,P_Phi,D_P_AMP,D_P_Phi,Dphi
0.0,-0.528946,0.624796,8115.83,0.16773,0.0,0.0,0.0
0.003125,-0.561488,0.665067,8338.57,0.152903,222.74,0.014827,0.107695
0.00625,-0.595306,0.706957,8565.88,0.128594,227.31,0.024309,0.123569
0.009375,-0.59204,0.700978,8537.04,0.0987761,28.8398,0.0298179,0.113381
0.0125,-0.591743,0.698127,8538.06,0.118047,1.01953,0.0192709,0.132035
0.015625,-0.576909,0.678051,8424.9,0.122357,113.159,0.00431,0.153717
0.01875,-0.594329,0.696609,8568.79,0.11168,143.89,0.010677,0.151819
0.021875,-0.601734,0.705858,8594.0,0.0860837,25.21,0.0255963,0.150085
0.025,-0.626153,0.737403,8751.56,0.0611693,157.56,0.0249144,0.148555
0.028125,-0.655349,0.77553,8959.29,0.087446,207.73,0.0262767,0.155329
0.03125,-0.646674,0.766637,8881.96,0.115911,77.3301,0.028465,0.13888
0.034375,-0.633827,0.752605,8777.67,0.0822059,104.29,0.0337051,0.140425
0.0375,-0.640574,0.760463,8826.0,0.0738892,48.3301,0.0083167,0.146839
0.040625,-0.623762,0.743541,8685.79,0.0735444,140.21,0.000344805,0.148585
0.04375,-0.597819,0.713333,8486.96,0.0795803,198.83,0.0060359,0.135369
0.046875,-0.644933,0.770313,8854.37,0.0792114,367.41,0.000368901,0.137387
0.05,-0.650677,0.775152,8937.35,0.0823597,82.9795,0.0031483,0.13764
0.053125,-0.664793,0.79341,9054.09,0.0730626,116.74,0.0092971,0.143334
0.05625,-0.667416,0.797708,9074.12,0.0767598,20.0303,0.0036972,0.145833
0.059375,-0.645177,0.768349,8906.84,0.0568807,167.28,0.0198791,0.140376
0.0625,-0.619674,0.737053,8738.4,0.02787,168.439,0.0290107,0.123427
0.065625,-0.604076,0.718868,8645.48,-0.000307312,92.9199,0.0281773,0.127118
0.06875,-0.578239,0.689849,8428.04,-0.013899,217.44,0.0135917,0.132213
0.071875,-0.5447,0.650776,8178.03,-0.0415571,250.01,0.0276581,0.119528
0.075,-0.527524,0.632568,8040.68,-0.0628879,137.35,0.0213308,0.128352
0.078125,-0.52583,0.632034,7996.81,-0.056061,43.8701,0.0068269,0.116342
0.08125,-0.525687,0.629319,8034.23,-0.055276,37.4199,0.000785001,0.128565
0.084375,-0.522788,0.624003,8029.23,-0.0510753,5.0,0.0042007,0.131741
0.0875,-0.524012,0.625482,8061.06,-0.0452745,31.8301,0.0058008,0.133299
0.090625,-0.502224,0.597813,7922.96,-0.0434529,138.1,0.0018216,0.11427
0.09375,-0.486885,0.578502,7814.44,-0.0456319,108.52,0.002179,0.104965
0.096875,-0.477801,0.569718,7725.38,-0.0548144,89.0601,0.0091825,0.113756
0.1,-0.432306,0.515251,7374.76,-0.0547078,350.62,0.000106599,0.12835
0.103125,-0.413992,0.494462,7261.1,-0.0835176,113.66,0.0288098,0.120398
0.10625,-0.389768,0.465075,7067.3,-0.101013,193.8,0.0174954,0.121634
0.109375,-0.371123,0.443704,6886.52,-0.0859834,180.78,0.0150296,0.130498
0.1125,-0.369356,0.444262,6846.23,-0.105437,40.29,0.0194536,0.133106
0.115625,-0.366198,0.442009,6775.34,-0.0718652,70.8901,0.0335718,0.137028
0.11875,-0.366295,0.44311,6761.99,0.00622703,13.3496,0.0780922,0.140834
0.121875,-0.35915,0.434584,6708.58,-0.00966593,53.4102,0.015893,0.143797
0.125,-0.351861,0.425128,6676.29,-0.0157994,32.29,0.00613347,0.143559
0.128125,-0.380029,0.461213,6866.1,0.00707994,189.81,0.0228793,0.155321
0.13125,-0.413843,0.500264,7174.59,0.00357667,308.49,0.00350327,0.173376
0.134375,-0.396635,0.47718,7056.52,0.0120886,118.07,0.00851193,0.140454
0.1375,-0.408858,0.489762,7181.99,0.0117615,125.47,0.0003271,0.130285
0.140625,-0.416033,0.498461,7223.25,0.0775295,41.2598,0.065768,0.13369
0.14375,-0.434971,0.517665,7429.99,0.0879326,206.74,0.0104031,0.142938
0.146875,-0.467441,0.555584,7716.94,0.0901946,286.95,0.002262,0.133715
0.15,-0.467113,0.549886,7743.21,0.0940725,26.27,0.0038779,0.137822
0.153125,-0.506383,0.595476,8037.59,0.109052,294.38,0.0149795,0.117692
0.15625,-0.559936,0.658655,8415.39,0.140088,377.8,0.031036,0.124255
0.159375,-0.581909,0.681393,8593.27,0.167509,177.88,0.027421,0.140952
0.1625,-0.601807,0.703901,8715.61,0.19166,122.341,0.024151,0.122976
0.165625,-0.641298,0.749465,8996.12,0.223063,280.51,0.031403,0.135902
0.16875,-0.640799,0.746466,8977.29,0.225066,18.8301,0.002003,0.127608
0.171875,-0.669475,0.78221,9183.8,0.21388,206.51,0.011186,0.125311
0.175,-0.670279,0.785158,9150.18,0.201361,33.6201,0.012519,0.136637
0.178125,-0.675076,0.791943,9134.62,0.188349,15.5596,0.013012,0.134084
0.18125,-0.734277,0.86482,9487.21,0.175903,352.59,0.012446,0.139788
0.184375,-0.761575,0.896986,9650.65,0.165433,163.44,0.01047,0.109768
0.1875,-0.773762,0.910868,9733.5,0.154315,82.8496,0.011118,0.0993281
0.190625,-0.777595,0.913381,9766.77,0.129135,33.2695,0.02518,0.114163
0.19375,-0.809254,0.950665,10001.4,0.114504,234.631,0.014631,0.137209
0.196875,-0.81238,0.954876,9984.33,0.0809172,17.0703,0.0335868,0.130929
0.2,-0.823966,0.968915,10049.2,0.0569148,64.8701,0.0240024,0.125818
0.203125,-0.796564,0.935193,9856.03,0.0249643,193.17,0.0319505,0.135876
0.20625,-0.793474,0.932509,9829.15,0.00998707,26.8799,0.0149772,0.120061
0.209375,-0.753375,0.884892,9572.26,-0.020696,256.891,0.0306831,0.117401
0.2125,-0.748489,0.879846,9533.19,-0.0344789,39.0693,0.0137829,0.0841215
0.215625,-0.753804,0.888391,9556.94,-0.049101,23.75,0.0146221,0.0889531
0.21875,-0.75141,0.889157,9512.58,-0.0652357,44.3604,0.0161347,0.0860598
0.221875,-0.748925,0.88817,9472.23,-0.0809644,40.3496,0.0157287,0.0892413
0.225,-0.742155,0.880511,9418.17,-0.108053,54.0605,0.0270886,0.0919975
0.228125,-0.741421,0.882281,9431.92,-0.139647,13.75,0.031594,0.091825
0.23125,-0.735211,0.876258,9393.62,-0.149491,38.2998,0.00984399,0.0812749
0.234375,-0.715489,0.852579,9262.51,-0.165137,131.11,0.015646,0.0753399
0.2375,-0.684962,0.815121,9048.87,-0.174721,213.64,0.00958401,0.0811996
0.240625,-0.667776,0.795259,8935.66,-0.181832,113.21,0.007111,0.0928415
0.24375,-0.63935,0.760917,8748.11,-0.200297,187.55,0.018465,0.0779471
0.246875,-0.612509,0.728666,8563.77,-0.212019,184.341,0.011722,0.0879726
0.25,-0.565773,0.670819,8225.06,-0.230779,338.71,0.01876,0.0940659
0.253125,-0.551793,0.655145,8122.17,-0.239088,102.89,0.00830899,0.0890081
0.25625,-0.53431,0.635118,7987.46,-0.246368,134.71,0.00728001,0.0903194
0.259375,-0.518761,0.616187,7873.23,-0.250865,114.23,0.00449701,0.0902647
0.2625,-0.483016,0.572102,7624.59,-0.240248,248.64,0.010617,0.0961425
0.265625,-0.454031,0.536189,7414.73,-0.245915,209.86,0.005667,0.0910067
0.26875,-0.428652,0.505241,7224.6,-0.239812,190.13,0.00610299,0.0840025
0.271875,-0.40325,0.474769,7022.68,-0.235664,201.92,0.00414801,0.0829408
0.275,-0.390406,0.460546,6908.32,-0.223382,114.36,0.012282,0.0852178
0.278125,-0.377604,0.447097,6786.94,-0.211844,121.38,0.011538,0.0896877
0.28125,-0.362323,0.431245,6628.12,-0.194882,158.82,0.016962,0.0943792
